# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000  1.000000
1305031910.797230 -0.012493  0.001688  0.002714  0.005393 -0.001891 -0.008547  0.999947
1305031910.835208 -0.018053 -0.002874  0.007739  0.005517 -0.008367 -0.014270  0.999848
1305031910.865025 -0.026460 -0.005059  0.012007  0.007081 -0.014856 -0.021696  0.999629
1305031910.897222 -0.029185 -0.009722  0.018162  0.006371 -0.025262 -0.030387  0.999199
1305031910.935211 -0.025876 -0.018430  0.029215  0.007852 -0.034097 -0.035970  0.998740
1305031910.965249 -0.044260 -0.020432  0.029011  0.013628 -0.034909 -0.040412  0.998480
1305031910.997325 -0.057726 -0.011766  0.030408  0.017606 -0.042532 -0.049700  0.997703
1305031911.035050 -0.067450 -0.019091  0.037261  0.013806 -0.053282 -0.058549  0.996766
1305031911.065269 -0.086035 -0.016166  0.041682  0.015468 -0.066541 -0.069040  0.995272
1305031911.097196 -0.089290 -0.021588  0.045296  0.012523 -0.086811 -0.080787  0.992865
1305031911.135664 -0.091805 -0.026729  0.049794  0.014893 -0.101864 -0.092105  0.990413
1305031911.165177 -0.101893 -0.024788  0.053255  0.020200 -0.113538 -0.099544  0.988328
1305031911.197213 -0.106199 -0.023110  0.056052  0.023189 -0.126148 -0.106222  0.986035
1305031911.235651 -0.115160 -0.028647  0.057459  0.023965 -0.136623 -0.113037  0.983861
1305031911.265104 -0.118298 -0.024368  0.062800  0.027732 -0.148961 -0.121842  0.980916
1305031911.297334 -0.124983 -0.027965  0.066812  0.027549 -0.157981 -0.128974  0.978595
1305031911.333191 -0.130788 -0.030881  0.069769  0.029596 -0.168011 -0.135028  0.976045
1305031911.365235 -0.130715 -0.033906  0.077692  0.032497 -0.177237 -0.141080  0.973462
1305031911.397333 -0.140275 -0.038624  0.079096  0.035762 -0.180954 -0.145711  0.971980
1305031911.433256 -0.149422 -0.035645  0.080187  0.040948 -0.186676 -0.148040  0.970340
1305031911.465250 -0.158776 -0.036113  0.082263  0.042603 -0.193929 -0.148142  0.968830
1305031911.497291 -0.170939 -0.038251  0.082450  0.044031 -0.203600 -0.148251  0.966763
1305031911.533251 -0.170943 -0.037419  0.089903  0.047034 -0.217067 -0.149235  0.963534
1305031911.565335 -0.179920 -0.045098  0.090000  0.047094 -0.225479 -0.148378  0.961730
1305031911.597302 -0.189083 -0.042562  0.093536  0.053890 -0.237221 -0.150482  0.958216
1305031911.633337 -0.183839 -0.032717  0.106484  0.061468 -0.251876 -0.157046  0.952951
